"FID","SUBTYPE","JURISDICTI","OWNER","LOCAL_ID","FACILITYID","Lat","Long","Subbasin","Shape_Le_2","Shape_Area"
"35790.0","0.0"," ","City of Grand Haven DPW","45300"," ","43.0629514834","-86.2106627326","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35791.0","0.0"," ","City of Grand Haven DPW","45301"," ","43.0628520281","-86.2107473589","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35792.0","0.0"," ","City of Grand Haven DPW","45302"," ","43.0628479392","-86.2109049128","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35793.0","0.0"," ","City of Grand Haven DPW","45303"," ","43.0629619866","-86.2109539776","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35794.0","0.0"," ","City of Grand Haven DPW","45304"," ","43.0647711871","-86.2107166128","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35795.0","0.0"," ","City of Grand Haven DPW","45305"," ","43.0646709097","-86.2107115433","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35796.0","0.0"," ","City of Grand Haven DPW","45306"," ","43.0645285137","-86.210914676","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35797.0","0.0"," ","City of Grand Haven DPW","45307"," ","43.063882325","-86.2109109207","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35798.0","0.0"," ","City of Grand Haven DPW","45308"," ","43.0648121781","-86.2091816165","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35799.0","0.0"," ","City of Grand Haven DPW","45309"," ","43.0647119173","-86.2091755127","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35800.0","0.0"," ","City of Grand Haven DPW","45310"," ","43.0646919903","-86.2084272871","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35801.0","0.0"," ","City of Grand Haven DPW","45311"," ","43.0646801566","-86.2083118345","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35802.0","0.0"," ","City of Grand Haven DPW","45312"," ","43.0631875098","-86.2084186873","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
